"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C6";"0603";2;"4.7uF";;;
2;"C2, C7, C9, C10, C11, C12, C13, C14, C28, C33";"0603";10;"0.1uF";;;
3;"C3, C15, C16, C17, C18, C19, C20, C29";"0603";8;"10uF";;;
4;"C4, C21, C22, C23, C24, C27";"0603";6;"1.0uF";;;
5;"C5, C8";"0603";2;"500pF";;;
6;"C25, C26";"CAPC1608X100N";2;"47uF";;;
7;"C30";"0603";1;"1nF";;;
8;"C31, C32";"0603";2;"22pF";;;
9;"D1";"LED-0603";1;"RED";;;
10;"IC1";"QFN45P400X400X80-29N";1;"ES8388";;;
11;"IC2";"SOT_62IDDFR_TEX-L";1;"TLV9062IDDFR";;;
12;"J1";"CUI_SJ-3523-SMT-TR";1;"SJ-3523-SMT-TR";;;
13;"J2";"1X10";1;"CONN_10"";;;
14;"J3";"CUI_SJ2-3574A-SMT-TR";1;"SJ2-3574A-SMT-TR";;;
15;"J4, J5, J6";"1X02";3;"CONN_02";;;
16;"JP1";"Jumper_2_NC_Trace_NoSilk";1;"Jumper_2_Bridged";;;
17;"R1, R5, R12, R15, R17";"0603";5;"10k";;;
18;"R2, R3";"0603";2;"47k";;;
19;"R4, R8";"0603";2;"20k";;;
20;"R6, R7, R9, R10, R11";"0603";5;"33";;;
21;"R13, R14";"0603";2;"2.0k";;;
22;"R16";"0603";1;"1k";;;
23;"R18, R19, R20";"0603";3;"100";;;
24;"R21";"0603";1;"4.7";;;
25;"R22";"0603";1;"3.3k";;;
26;"R23, R24";"0603";2;"1M";;;
27;"R29, R30";"0603";2;"2.2k";;;
28;"U1";"MPRLS0300YG00001B_HNW";1;"MPRLS0300YG00001B";;;
