Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C6",2,4.7uF,0603,,,,smt,
"C10, C11, C12, C13, C14, C2, C28, C33, C7, C9",10,0.1uF,0603,,,,smt,
"C15, C16, C17, C18, C19, C20, C29, C3",8,10uF,0603,,,,smt,
"C21, C22, C23, C24, C27, C4",6,1.0uF,0603,,,,smt,
"C25, C26",2,47uF,CAPC1608X100N,,,,smt,
C30,1,1nF,0603,,,,smt,
"C31, C32",2,22pF,0603,,,,smt,
"C5, C8",2,500pF,0603,,,,smt,
D1,1,RED,LED-0603,,,,smt,
IC1,1,ES8388,QFN45P400X400X80-29N,,,,smt,
IC2,1,TLV9062IDDFR,SOT_62IDDFR_TEX-L,,,,smt,
J1,1,SJ-3523-SMT-TR,CUI_SJ-3523-SMT-TR,,,,smt,
J2,1,"CONN_10""",1X10,,,,tht,
J3,1,SJ2-3574A-SMT-TR,CUI_SJ2-3574A-SMT-TR,,,,smt,
"J4, J5, J6",3,CONN_02,1X02,,,,tht,
JP1,1,Jumper_2_Bridged,Jumper_2_NC_Trace_NoSilk,,,,smt,"Jumper, 2-pole, closed/bridged"
"R1, R12, R15, R17, R5",5,10k,0603,,,,smt,
"R10, R11, R6, R7, R9",5,33,0603,,,,smt,
"R13, R14",2,2.0k,0603,,,,smt,
R16,1,1k,0603,,,,smt,
"R18, R19, R20",3,100,0603,,,,smt,
"R2, R3",2,47k,0603,,,,smt,
R21,1,4.7,0603,,,,smt,
R22,1,3.3k,0603,,,,smt,
"R23, R24",2,1M,0603,,,,smt,
"R29, R30",2,2.2k,0603,,,,smt,
"R4, R8",2,20k,0603,,,,smt,
U1,1,MPRLS0300YG00001B,MPRLS0300YG00001B_HNW,,,,smt,
