pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
164.65,-121.8,180.0,top,C1,,,0603,4.7uF,smt
127.8011,-122.4036,180.0,top,C10,,,0603,0.1uF,smt
138.0011,-122.4036,0.0,top,C11,,,0603,0.1uF,smt
134.7511,-110.9536,0.0,top,C12,,,0603,0.1uF,smt
120.8011,-116.9036,180.0,top,C13,,,0603,0.1uF,smt
154.2,-112.8,180.0,top,C14,,,0603,0.1uF,smt
134.7511,-106.0036,0.0,top,C15,,,0603,10uF,smt
127.8011,-124.0036,180.0,top,C16,,,0603,10uF,smt
131.2511,-124.0036,0.0,top,C17,,,0603,10uF,smt
134.6511,-124.0036,0.0,top,C18,,,0603,10uF,smt
138.0011,-124.0036,0.0,top,C19,,,0603,10uF,smt
161.25,-108.3,0.0,top,C2,,,0603,0.1uF,smt
120.8011,-115.2536,180.0,top,C20,,,0603,10uF,smt
138.0511,-117.7536,0.0,top,C21,,,0603,1.0uF,smt
138.0511,-119.2536,0.0,top,C22,,,0603,1.0uF,smt
127.8011,-116.0536,0.0,top,C23,,,0603,1.0uF,smt
127.8011,-117.5536,0.0,top,C24,,,0603,1.0uF,smt
127.8011,-120.8536,180.0,top,C25,,,CAPC1608X100N,47uF,smt
127.8011,-119.2536,180.0,top,C26,,,CAPC1608X100N,47uF,smt
138.0511,-120.8286,0.0,top,C27,,,0603,1.0uF,smt
119.6511,-87.7036,180.0,top,C28,,,0603,0.1uF,smt
119.6511,-86.1036,180.0,top,C29,,,0603,10uF,smt
161.25,-109.7,0.0,top,C3,,,0603,10uF,smt
119.6,-96.4,0.0,top,C30,,,0603,1nF,smt
143.7,-115.5,180.0,top,C31,,,0603,22pF,smt
141.5011,-110.5036,180.0,top,C32,,,0603,22pF,smt
162.9,-116.0,180.0,top,C33,,,0603,0.1uF,smt
154.2,-111.2036,180.0,top,C4,,,0603,1.0uF,smt
157.65,-120.2,180.0,top,C5,,,0603,500pF,smt
164.6,-114.3,180.0,top,C6,,,0603,4.7uF,smt
134.6511,-122.4036,0.0,top,C7,,,0603,0.1uF,smt
157.65,-112.8,0.0,top,C8,,,0603,500pF,smt
131.2511,-122.4036,0.0,top,C9,,,0603,0.1uF,smt
118.2,-79.2,90.0,top,D1,,,LED-0603,RED,smt
117.0,-136.5,0.0,top,H1,,,MountingHole_3.2mm_M3,MountingHole,tht
180.0,-136.5,0.0,top,H2,,,MountingHole_3.2mm_M3,MountingHole,tht
180.0,-73.5,0.0,top,H3,,,MountingHole_3.2mm_M3,MountingHole,tht
117.0,-73.5,0.0,top,H4,,,MountingHole_3.2mm_M3,MountingHole,tht
133.0011,-117.5036,-90.0,top,IC1,,,QFN45P400X400X80-29N,ES8388,smt
157.7511,-117.2536,90.0,top,IC2,,,SOT_62IDDFR_TEX-L,TLV9062IDDFR,smt
140.0011,-136.5036,90.0,top,J1,,,CUI_SJ-3523-SMT-TR,SJ-3523-SMT-TR,smt
124.3911,-72.2036,0.0,top,J2,,,1X10,"CONN_10""",tht
127.2011,-133.7036,90.0,top,J3,,,CUI_SJ2-3574A-SMT-TR,SJ2-3574A-SMT-TR,smt
115.8,-84.37,90.0,top,J4,,,1X02,CONN_02,tht
172.14,-120.2,180.0,top,J5,,,1X02,CONN_02,tht
172.14,-114.2,180.0,top,J6,,,1X02,CONN_02,tht
115.8,-79.2,0.0,top,JP1,,,Jumper_2_NC_Trace_NoSilk,Jumper_2_Bridged,smt
161.25,-121.8,180.0,top,R1,,,0603,10k,smt
129.1511,-111.7536,-90.0,top,R10,,,0603,33,smt
127.6011,-111.7536,-90.0,top,R11,,,0603,33,smt
140.25,-115.5,180.0,top,R12,,,0603,10k,smt
127.5011,-76.7536,180.0,top,R13,,,0603,2.0k,smt
127.5011,-78.2536,180.0,top,R14,,,0603,2.0k,smt
123.7011,-78.2536,180.0,top,R15,,,0603,10k,smt
123.75,-76.7,0.0,top,R16,,,0603,1k,smt
115.8011,-97.3036,90.0,top,R17,,,0603,10k,smt
141.5011,-113.7036,180.0,top,R18,,,0603,100,smt
141.5011,-112.0036,180.0,top,R19,,,0603,100,smt
157.65,-111.2036,0.0,top,R2,,,0603,47k,smt
133.9011,-108.5536,-90.0,top,R20,,,0603,100,smt
123.8011,-125.1536,180.0,top,R21,,,0603,4.7,smt
134.7511,-112.5036,180.0,top,R22,,,0603,3.3k,smt
161.2,-114.3,0.0,top,R23,,,0603,1M,smt
161.2,-120.2,0.0,top,R24,,,0603,1M,smt
164.6,-120.2,180.0,top,R29,,,0603,2.2k,smt
157.65,-109.7,180.0,top,R3,,,0603,47k,smt
164.55,-112.8,180.0,top,R30,,,0603,2.2k,smt
157.7,-121.8,180.0,top,R4,,,0603,20k,smt
161.2,-112.8,180.0,top,R5,,,0603,10k,smt
137.2511,-111.7036,-90.0,top,R6,,,0603,33,smt
132.3511,-111.7536,-90.0,top,R7,,,0603,33,smt
157.65,-114.3,0.0,top,R8,,,0603,20k,smt
130.7511,-111.7536,-90.0,top,R9,,,0603,33,smt
119.6011,-92.0036,180.0,top,U1,,,MPRLS0300YG00001B_HNW,MPRLS0300YG00001B,smt
